Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
A17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
A18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
B16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
B17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
B18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
C16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
C17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
C18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
D16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
D17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
D18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
E16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
E17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
E18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
F16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
F17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
F18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
G16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
G17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
G18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
H16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
H17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
H18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
I16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
I17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
I18,false,SEco3,sockeye_co3,SYBR,Unknown,34.68656217473527,
J16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
J17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
J18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
K16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
K17,false,SEco3,sockeye_co3,SYBR,Unknown,38.4094622147137,
K18,false,SEco3,sockeye_co3,SYBR,Unknown,33.70220983202594,
L16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
L17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
L18,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
M16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
M17,false,SEco3,sockeye_co3,SYBR,Unknown,41.91890876765117,
M18,false,SEco3,sockeye_co3,SYBR,Unknown,32.32174283103119,
N16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
N17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
N18,false,SEco3,sockeye_co3,SYBR,Negative Control,Undetermined,
O16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
O17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
O18,false,SEco3,sockeye_co3,SYBR,Negative Control,Undetermined,
P16,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
P17,false,SEco3,sockeye_co3,SYBR,Unknown,Undetermined,
P18,false,SEco3,sockeye_co3,SYBR,Negative Control,Undetermined,
A5,false,ckco3,chinook_co3,SYBR,Standard,21.49912648175875,1000000
A6,false,ckco3,chinook_co3,SYBR,Unknown,Undetermined,
