Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,coho_shel,chi1269,SYBR,Standard,21.346327,1000000
A2,false,coho_shel,chi1269,SYBR,Standard,21.391335,1000000
A4,false,cohoDUDA,cocytb,SYBR,Standard,20.987312,1000000
A5,false,cohoDUDA,cocytb,SYBR,Standard,21.113325,1000000
A7,false,chinook_shel,chi1269,SYBR,Standard,22.172087,1000000
A8,false,chinook_shel,chi1269,SYBR,Standard,22.156967,1000000
A10,false,chinookDUDA,ckco3,SYBR,Standard,22.15903,1000000
A11,false,chinookDUDA,ckco3,SYBR,Standard,22.202545,1000000
B1,false,coho_shel,chi1269,SYBR,Standard,24.77943,100000
B2,false,coho_shel,chi1269,SYBR,Standard,24.51069,100000
B4,false,cohoDUDA,cocytb,SYBR,Standard,24.61576,100000
B5,false,cohoDUDA,cocytb,SYBR,Standard,24.234985,100000
B7,false,chinook_shel,chi1269,SYBR,Standard,25.515598,100000
B8,false,chinook_shel,chi1269,SYBR,Standard,25.547804,100000
B10,false,chinookDUDA,ckco3,SYBR,Standard,25.712767,100000
B11,false,chinookDUDA,ckco3,SYBR,Standard,25.224043,100000
C1,false,coho_shel,chi1269,SYBR,Standard,28.034145,10000
C2,false,coho_shel,chi1269,SYBR,Standard,28.170267,10000
C4,false,cohoDUDA,cocytb,SYBR,Standard,27.997133,10000
C5,false,cohoDUDA,cocytb,SYBR,Standard,27.879509,10000
C7,false,chinook_shel,chi1269,SYBR,Standard,28.960875,10000
C8,false,chinook_shel,chi1269,SYBR,Standard,29.02962,10000
C10,false,chinookDUDA,ckco3,SYBR,Standard,29.121733,10000
C11,false,chinookDUDA,ckco3,SYBR,Standard,29.276125,10000
D1,false,coho_shel,chi1269,SYBR,Standard,31.902971,1000
D2,false,coho_shel,chi1269,SYBR,Standard,31.813257,1000
D4,false,cohoDUDA,cocytb,SYBR,Standard,31.064205,1000
D5,false,cohoDUDA,cocytb,SYBR,Standard,32.4417,1000
D7,false,chinook_shel,chi1269,SYBR,Standard,32.29003,1000
D8,false,chinook_shel,chi1269,SYBR,Standard,32.669994,1000
D10,false,chinookDUDA,ckco3,SYBR,Standard,32.57353,1000
D11,false,chinookDUDA,ckco3,SYBR,Standard,31.988268,1000
E1,false,coho_shel,chi1269,SYBR,Standard,34.9966,100
E2,false,coho_shel,chi1269,SYBR,Standard,36.354866,100
E4,false,cohoDUDA,cocytb,SYBR,Standard,34.643696,100
E5,false,cohoDUDA,cocytb,SYBR,Standard,35.905453,100
E7,false,chinook_shel,chi1269,SYBR,Standard,34.491596,100
E8,false,chinook_shel,chi1269,SYBR,Standard,34.946613,100
E10,false,chinookDUDA,ckco3,SYBR,Standard,Undetermined,100
E11,false,chinookDUDA,ckco3,SYBR,Standard,36.171722,100
F1,false,coho_shel,chi1269,SYBR,Standard,36.323174,10
F2,false,coho_shel,chi1269,SYBR,Standard,Undetermined,10
F4,false,cohoDUDA,cocytb,SYBR,Standard,Undetermined,10
F5,false,cohoDUDA,cocytb,SYBR,Standard,Undetermined,10
F7,false,chinook_shel,chi1269,SYBR,Standard,Undetermined,10
F8,false,chinook_shel,chi1269,SYBR,Standard,Undetermined,10
F10,false,chinookDUDA,ckco3,SYBR,Standard,35.451775,10
F11,false,chinookDUDA,ckco3,SYBR,Standard,Undetermined,10
G1,false,coho_shel,chi1269,SYBR,Standard,Undetermined,1
G2,false,coho_shel,chi1269,SYBR,Standard,Undetermined,1
G4,false,cohoDUDA,cocytb,SYBR,Standard,Undetermined,1
G5,false,cohoDUDA,cocytb,SYBR,Standard,Undetermined,1
G7,false,chinook_shel,chi1269,SYBR,Standard,Undetermined,1
G8,false,chinook_shel,chi1269,SYBR,Standard,Undetermined,1
G10,false,chinookDUDA,ckco3,SYBR,Standard,Undetermined,1
G11,false,chinookDUDA,ckco3,SYBR,Standard,Undetermined,1
H1,false,coho_shel,chi1269,SYBR,Negative Control,Undetermined,
H4,false,cohoDUDA,cocytb,SYBR,Negative Control,Undetermined,
H7,false,chinook_shel,chi1269,SYBR,Negative Control,Undetermined,
H10,false,chinookDUDA,ckco3,SYBR,Negative Control,Undetermined,
