Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,chinook_shel,chi1269,SYBR,Standard,20.671765222547016,1000000
A2,false,chinook_shel,chi1269,SYBR,Standard,20.663392909001516,1000000
A3,false,coho_shel,chi1269,SYBR,Standard,19.727665021172008,1000000
A4,false,coho_shel,chi1269,SYBR,Standard,19.646764088982444,1000000
A5,false,chinook_shel,chi1269,SYBR,Negative Control,Undetermined,
A6,false,chinook_shel,chi1269,SYBR,Negative Control,Undetermined,
A7,false,chinook_shel,chi1269,SYBR,Unknown,28.71384474994189,2549.6831484837157
A8,false,chinook_shel,chi1269,SYBR,Unknown,28.859290883998163,2292.084400927835
A9,false,chinook_shel,chi1269,SYBR,Unknown,28.99987391712643,2067.862171457341
A10,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A11,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A12,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A13,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A14,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A15,false,chinook_shel,chi1269,SYBR,Unknown,42.866283811788605,0.08047239448781401
A16,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A17,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A18,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A19,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A20,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A21,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
A22,false,chinook_shel,chi1269,SYBR,Unknown,35.895860442129134,13.256249546190148
A23,false,chinook_shel,chi1269,SYBR,Unknown,34.59099578119108,34.46681583320505
A24,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B1,false,chinook_shel,chi1269,SYBR,Standard,23.824658065798168,100000
B2,false,chinook_shel,chi1269,SYBR,Standard,23.529732481050416,100000
B3,false,chinook_shel,chi1269,SYBR,Standard,23.560658164280376,100000
B4,false,coho_shel,chi1269,SYBR,Standard,23.251210133336166,100000
B5,false,coho_shel,chi1269,SYBR,Standard,22.837571712097414,100000
B6,false,coho_shel,chi1269,SYBR,Standard,23.17953805961877,100000
B7,false,chinook_shel,chi1269,SYBR,Unknown,35.863299771048545,13.576124158046593
B8,false,chinook_shel,chi1269,SYBR,Unknown,37.641824864988706,3.6911281154167606
B9,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B10,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B11,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B12,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B13,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B14,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B15,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B16,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B17,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B18,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B19,false,chinook_shel,chi1269,SYBR,Unknown,39.153572709193625,1.2200691848632375
B20,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B21,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B22,false,chinook_shel,chi1269,SYBR,Unknown,44.05637368887602,0.03366415843595777
B23,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
B24,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C1,false,chinook_shel,chi1269,SYBR,Standard,26.973121921373,10000
C2,false,chinook_shel,chi1269,SYBR,Standard,27.173917185926094,10000
C3,false,chinook_shel,chi1269,SYBR,Standard,27.145512537556407,10000
C4,false,coho_shel,chi1269,SYBR,Standard,29.682902207245014,10000
C5,false,coho_shel,chi1269,SYBR,Standard,30.077254107354086,10000
C6,false,coho_shel,chi1269,SYBR,Standard,30.30005171413898,10000
C7,false,chinook_shel,chi1269,SYBR,Unknown,32.793062714229436,128.58493197089535
C8,false,chinook_shel,chi1269,SYBR,Unknown,32.24146117107793,192.58104738965935
C9,false,chinook_shel,chi1269,SYBR,Unknown,32.40004239151827,171.46703625349454
C10,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C11,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C12,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C13,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C14,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C15,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C16,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C17,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C18,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C19,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C20,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C21,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C22,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C23,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
C24,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D1,false,chinook_shel,chi1269,SYBR,Standard,30.457796154763912,1000
D2,false,chinook_shel,chi1269,SYBR,Standard,30.53651655870072,1000
D3,false,chinook_shel,chi1269,SYBR,Standard,31.228138225180004,1000
D4,false,coho_shel,chi1269,SYBR,Standard,26.40292431233904,1000
D5,false,coho_shel,chi1269,SYBR,Standard,26.390418467038543,1000
D6,false,coho_shel,chi1269,SYBR,Standard,26.606590994679138,1000
D7,false,chinook_shel,chi1269,SYBR,Unknown,32.47854362018637,161.88821457738555
D8,false,chinook_shel,chi1269,SYBR,Unknown,33.211203275526216,94.66962050606463
D9,false,chinook_shel,chi1269,SYBR,Unknown,31.687761293234054,288.8712586194547
D10,false,chinook_shel,chi1269,SYBR,Unknown,42.05464949226906,0.1458033470990442
D11,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D12,false,chinook_shel,chi1269,SYBR,Unknown,35.29880712516781,20.525746832586023
D13,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D14,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D15,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D16,false,chinook_shel,chi1269,SYBR,Unknown,34.24971516780022,44.25243454368363
D17,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D18,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D19,false,chinook_shel,chi1269,SYBR,Unknown,35.299042397038775,20.522210855317006
D20,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D21,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D22,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D23,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
D24,false,chinook_shel,chi1269,SYBR,Unknown,Undetermined,
