Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,chinookDUDA,chi1269,SYBR,Standard,20.14647969375747,1000000
A2,false,chinookDUDA,chi1269,SYBR,Standard,20.152670025099987,1000000
A3,false,chinookDUDA,chi1269,SYBR,Standard,20.234510754405086,1000000
A4,false,chinookDUDA,chi1269,SYBR,Standard,19.963410190896234,1000000
A5,false,chinookDUDA,chi1269,SYBR,Negative Control,Undetermined,
A6,false,chinookDUDA,chi1269,SYBR,Negative Control,Undetermined,
A7,false,chinookDUDA,chi1269,SYBR,Unknown,27.803274730873476,4959.93897318069
A8,false,chinookDUDA,chi1269,SYBR,Unknown,28.149262803371762,3921.734054296398
A9,false,chinookDUDA,chi1269,SYBR,Unknown,28.108220734291358,4032.5285354916227
A10,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A11,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A12,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A13,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A14,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A15,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A16,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A17,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A18,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A19,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A20,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A21,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A22,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A23,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
A24,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
B1,false,chinookDUDA,chi1269,SYBR,Standard,23.43279398401655,100000
B2,false,chinookDUDA,chi1269,SYBR,Standard,23.298568671073234,100000
B3,false,chinookDUDA,chi1269,SYBR,Standard,23.2581867202302,100000
