Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,cohoDUDA,chi1269,SYBR,Standard,18.958397454999513,1000000
A2,false,cohoDUDA,chi1269,SYBR,Standard,18.956925525603154,1000000
A3,false,cohoDUDA,chi1269,SYBR,Standard,18.974232520753347,1000000
A4,false,cohoDUDA,chi1269,SYBR,Standard,19.16379099736652,1000000
A5,false,cohoDUDA,chi1269,SYBR,Negative Control,Undetermined,
A6,false,cohoDUDA,chi1269,SYBR,Negative Control,Undetermined,
A7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
A24,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B1,false,cohoDUDA,chi1269,SYBR,Standard,22.578371337461014,100000
B2,false,cohoDUDA,chi1269,SYBR,Standard,22.485388370267643,100000
B3,false,cohoDUDA,chi1269,SYBR,Standard,22.534337788351657,100000
B4,false,cohoDUDA,chi1269,SYBR,Standard,22.815651574429282,100000
B5,false,cohoDUDA,chi1269,SYBR,Standard,22.134756777522412,100000
B6,false,cohoDUDA,chi1269,SYBR,Standard,22.961560683010617,100000
B7,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B8,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B9,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B10,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B11,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B12,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B13,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B14,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B15,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B16,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B17,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B18,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B19,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B20,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B21,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B22,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
B23,false,cohoDUDA,chi1269,SYBR,Unknown,Undetermined,
