Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,sockeyeDUDA,chi1269,SYBR,Standard,16.933594849492188,1000000
A2,false,sockeyeDUDA,chi1269,SYBR,Standard,17.424585191338466,1000000
A3,false,sockeyeDUDA,chi1269,SYBR,Standard,17.2009971442995,1000000
A4,false,sockeyeDUDA,chi1269,SYBR,Standard,16.99848270491008,1000000
A5,false,sockeyeDUDA,chi1269,SYBR,Negative Control,Undetermined,
A6,false,sockeyeDUDA,chi1269,SYBR,Negative Control,Undetermined,
A7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
A24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B1,false,sockeyeDUDA,chi1269,SYBR,Standard,20.46438444747396,100000
B2,false,sockeyeDUDA,chi1269,SYBR,Standard,20.316852445943347,100000
B3,false,sockeyeDUDA,chi1269,SYBR,Standard,20.422558288915063,100000
B4,false,sockeyeDUDA,chi1269,SYBR,Standard,20.62273368765012,100000
B5,false,sockeyeDUDA,chi1269,SYBR,Standard,19.812360565269167,100000
B6,false,sockeyeDUDA,chi1269,SYBR,Standard,20.469037239026733,100000
B7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B13,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B14,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B15,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B16,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B17,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B18,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B19,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B20,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B21,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B22,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B23,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
B24,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C1,false,sockeyeDUDA,chi1269,SYBR,Standard,25.864113315390817,10000
C2,false,sockeyeDUDA,chi1269,SYBR,Standard,25.675940469217522,10000
C3,false,sockeyeDUDA,chi1269,SYBR,Standard,25.703445183209915,10000
C4,false,sockeyeDUDA,chi1269,SYBR,Standard,26.236061029184448,10000
C5,false,sockeyeDUDA,chi1269,SYBR,Standard,25.49520907580297,10000
C6,false,sockeyeDUDA,chi1269,SYBR,Standard,25.955429922257686,10000
C7,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C8,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C9,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C10,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C11,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
C12,false,sockeyeDUDA,chi1269,SYBR,Unknown,Undetermined,
